source,target,weight
172,11,1
41,78,6
16,150,20
51,18,2
42,153,10
197,194,9
132,31,4
180,171,15
101,74,16
6,61,6
197,88,16
29,74,11
49,101,9
14,127,3
38,60,15
52,197,5
43,50,5
157,111,18
176,37,17
135,57,1
94,177,10
21,152,9
11,42,17
90,146,20
193,23,2
7,36,16
110,27,14
55,100,2
8,129,19
35,87,18
83,6,4
197,173,18
52,129,10
40,178,17
83,75,9
116,26,10
0,102,16
37,37,17
164,142,2
56,191,2
140,36,20
14,87,11
168,154,13
172,149,7
4,91,15
10,155,6
166,101,13
146,62,6
83,118,16
1,191,6
53,60,17
193,8,3
122,75,16
12,58,15
198,57,4
127,140,19
161,77,10
140,111,3
180,82,14
81,84,18
188,9,4
181,98,12
0,195,15
83,121,19
8,20,2
172,169,13
110,144,17
20,153,9
111,148,17
8,44,20
53,153,16
25,177,18
59,13,15
68,142,3
139,152,6
158,26,1
186,120,9
132,127,4
175,30,12
153,170,17
84,25,9
40,106,11
29,59,1
34,146,12
122,187,19
43,29,8
141,109,3
180,137,8
88,22,8
192,150,7
62,1,12
137,190,1
111,4,15
117,14,13
77,101,4
119,13,8
65,44,8
74,100,17
54,87,12
65,135,9
195,91,14
162,139,11
112,106,6
21,129,1
19,182,11
194,82,16
48,63,13
73,30,6
196,117,12
146,13,8
128,102,3
61,60,9
39,28,18
107,195,11
162,83,4
18,180,13
4,40,9
139,43,18
78,18,2
154,122,6
80,96,7
17,181,20
80,7,7
170,35,17
187,13,1
137,52,12
1,41,14
12,39,20
158,185,3
53,154,5
14,166,6
85,152,16
24,158,11
136,116,20
188,74,15
78,98,8
100,55,4
76,53,2
38,55,8
69,1,8
19,86,11
49,67,20
117,111,17
61,31,1
160,54,6
37,97,11
164,179,3
80,95,11
193,138,6
74,33,19
101,110,18
14,40,15
100,82,13
187,56,12
48,57,10
81,172,3
155,54,17
93,88,15
67,185,15
120,192,20
133,86,8
128,41,12
32,183,5
101,146,1
197,192,3
171,134,1
147,89,5
22,162,5
118,74,2
47,160,20
159,23,18
133,67,10
193,25,11
15,22,17
67,62,11
44,142,16
80,126,6
140,62,2
56,162,15
5,177,6
182,36,15
125,78,15
184,14,7
131,112,13
0,4,5
57,110,2
21,74,3
68,198,5
72,3,15
197,74,19
20,9,19
91,8,10
146,117,1
179,59,11
164,118,13
100,82,9
75,86,18
40,186,8
187,75,12
19,40,13
83,100,20
72,103,6
95,139,12
38,27,1
147,1,14
139,40,12
117,117,13
196,197,17
112,142,12
165,160,13
101,190,17
39,81,11
169,120,12
165,197,5
178,139,1
57,8,11
44,91,12
60,75,5
186,111,19
35,191,2
150,199,7
16,67,13
193,104,19
184,6,4
106,197,17
130,69,18
23,196,13
5,57,11
91,32,19
151,28,18
28,101,8
80,97,6
164,144,4
155,105,6
130,176,19
32,9,15
34,145,6
130,4,7
94,195,4
96,42,19
71,131,19
20,10,2
0,84,10
63,65,8
136,42,10
120,90,20
177,126,5
75,93,1
32,167,1
2,65,13
99,147,8
134,39,2
103,2,2
35,172,15
167,101,8
165,89,11
15,117,13
190,135,2
182,117,14
161,179,15
62,125,9
196,103,1
42,180,15
128,96,15
164,88,7
53,147,13
149,133,1
164,98,17
185,68,6
193,147,19
120,125,13
97,96,10
13,78,20
13,29,9
26,24,2
67,147,19
187,82,20
74,52,9
121,145,1
166,167,15
155,134,17
159,45,9
165,24,19
138,29,9
120,95,19
69,192,10
60,196,6
182,90,10
86,104,18
27,77,14
61,157,15
103,186,10
138,193,10
138,125,1
104,49,20
48,92,20
141,128,2
41,94,3
113,83,1
49,113,15
181,185,17
108,18,19
83,128,12
17,127,14
134,33,13
48,82,8
168,43,11
123,167,8
153,56,11
12,111,19
49,199,12
134,170,11
120,178,4
119,166,3
170,93,7
3,130,1
55,160,18
182,70,18
86,12,10
15,189,16
30,9,20
162,78,8
2,168,10
183,112,11
74,150,11
131,178,17
62,45,18
115,19,6
133,125,14
130,48,6
190,87,8
41,4,13
115,9,15
185,7,1
97,93,14
143,96,1
82,156,1
41,7,19
57,29,13
113,198,18
199,147,4
132,25,2
157,116,1
132,153,20
180,193,3
199,37,20
108,41,15
88,63,8
42,28,1
83,137,6
14,114,18
177,75,18
71,37,13
86,132,17
143,119,3
19,75,8
95,162,3
176,106,11
81,33,16
119,169,18
97,140,11
176,49,7
185,173,8
15,170,2
124,17,6
88,27,14
192,101,10
38,171,18
11,101,7
135,8,15
91,157,17
30,114,15
82,127,13
133,93,16
31,77,13
149,56,20
165,154,17
158,179,14
72,186,2
16,24,18
129,102,11
198,79,5
24,76,5
160,116,17
50,64,9
120,198,20
189,65,11
42,55,18
166,116,19
151,56,8
68,96,7
165,71,3
65,183,19
174,14,12
99,33,18
77,84,13
102,132,11
35,183,3
45,47,2
102,67,11
